store_name,store_company_by_GPT
WAL-MART 0985 / FAIRFIELD,WAL-MART
WAL-MART 1389 / BOONE,WAL-MART
WAL-MART 1546 / IOWA FALLS,WAL-MART
KARAM KAUR KHASRIYA LLC,KARAM KAUR KHASRIYA
WAL-MART 1621 / CENTERVILLE,WAL-MART
LAKE OHANA MARKET / MINEOLA,LAKE OHANA
J AND K MARKET,J AND K
FAREWAY STORES #639 / MAQUOKETA,FAREWAY
TARGET STORE T-0860 / WEST BURLINGTON,TARGET
TEQUILA'S LIQUOR STORE,TEQUILA'S
H AND A MINI MART CORP,H AND A
FREEMAN FOODS,FREEMAN
SA PETRO MART,SA PETRO
FAREWAY STORES #648 / OTTUMWA,FAREWAY
GRIEDER BEVERAGE DEPOT,GRIEDER
"UPTOWN LIQUOR, LLC",UPTOWN LIQUOR
XO FOOD AND LIQUOR,XO
FAREWAY STORES #909 / ANKENY,FAREWAY
FAREWAY STORES #061 / ANKENY,FAREWAY
FAREWAY STORES #705 / CLEAR LAKE,FAREWAY
FAREWAY STORES #077 / NORWALK,FAREWAY
SCHLESWIG FOODS AND SPIRITS,SCHLESWIG
WAL-MART 1475 / WASHINGTON,WAL-MART
FAREWAY STORES #386 / AMES,FAREWAY
FAREWAY STORES #093 / AMES,FAREWAY
FAREWAY STORES #491 / MASON CITY,FAREWAY
FAREWAY STORES #426 / NEVADA,FAREWAY
HARTIG DRUG COMPANY #3/JFK,HARTIG
FAREWAY STORES #384 / BOONE,FAREWAY
"BROTHERS MARKET, INC.",BROTHERS
AFTER 5 SOMEWHERE,AFTER 5
LAKE VIEW FOODS,LAKE VIEW
LAKE VIEW REDEMPTION CENTER,LAKE VIEW
TARGET STORE T-2526 / CEDAR FALLS,TARGET
WAPELLO JACK AND JILL,WAPELLO
SAM'S MAINSTREET MARKET / SOLON,SAM'S MAINSTREET
CYCLONE LIQUORS,CYCLONE
"BOYD GROCERY, INC.",BOYD
FAREWAY STORES #933 / URBANDALE,FAREWAY
CAMANCHE FOOD PRIDE,CAMANCHE
MCCOY'S 1447,MCCOY'S
PLEASANTVILLE GROCERY,PLEASANTVILLE
FAREWAY STORES #925 / ALTOONA,FAREWAY
FAREWAY STORES #983 / GRIMES,FAREWAY
FAREWAY STORES #989 / WAUKEE,FAREWAY
FAREWAY STORES #657 / INDIANOLA,FAREWAY
FAREWAY STORES #900 / EUCLID,FAREWAY
FAREWAY STORES #975 / SE 22ND / DSM,FAREWAY
BUCKY'S,BUCKY'S
FAREWAY STORES #561 / WAVERLY,FAREWAY
FAREWAY STORES #974 / CEDAR FALLS,FAREWAY
FAREWAY STORES #479 / INDEPENDENCE,FAREWAY
FAREWAY STORES #015 / DENISON,FAREWAY
FAREWAY STORES #951 / WATERLOO,FAREWAY
FOOD LAND SUPER MARKETS,FOOD LAND
FAREWAY STORES #067 / EVANSDALE,FAREWAY
FAREWAY STORES #055 / HIAWATHA,FAREWAY
FAREWAY STORES #949 / MARION,FAREWAY
FAREWAY STORES #412 / OELWEIN,FAREWAY
FAREWAY STORES #993 / NORTH LIBERTY,FAREWAY
FAREWAY STORES #409 / CARROLL,FAREWAY
FAREWAY STORES #073 / COUNCIL BLUFFS,FAREWAY
FAREWAY STORES #034 / IOWA CITY,FAREWAY
FAREWAY STORES #950 / IOWA CITY,FAREWAY
FAREWAY STORES #963 / CEDAR RAPIDS,FAREWAY
FAREWAY STORES #461 / STORM LAKE,FAREWAY
JESUP FOOD CENTER,JESUP
"IOWA STREET MARKET, INC.",IOWA STREET
SUPER QUICK 2 / HUBBELL,SUPER QUICK
DEWEY'S JACK AND JILL,DEWEY'S
"BROTHERS MARKET, INC. / CASCADE",BROTHERS
SHAMROCK SPIRITS,SHAMROCK
SMOKIN' JOE'S #10 TOBACCO AND LIQUOR OUTLET,SMOKIN' JOE'S
FAREWAY STORES #008 / DYERSVILLE,FAREWAY
FAREWAY STORES #589 / DECORAH,FAREWAY
FAREWAY STORES #998 / MUSCATINE,FAREWAY
FAREWAY STORES #737 / GRINNELL,FAREWAY
H AND A MINI MART /BP,H AND A
FAREWAY STORES #594 / MANCHESTER,FAREWAY
